SKU_Code,Product_Name,Brand,Category,Train_Days,Test_Days,Actual_Total,Forecast_Total,MAE,MAPE,Accuracy
572034,LAKME ABSSKINDEWLIP 102NUDEROSE 3.6GM,Lakme,MAKEUP,147,23,53.0,39.702281414259645,1.119778886687542,2861.13536199873,0.0
571253,LAKME TRUEWEAR COLOR CRUSH 43,Lakme,MAKEUP,131,24,59.0,50.14537315647527,1.3444425049806743,3197.5841407933085,0.0
533683,LAK YOUTH INF DAY CRM 50GM,Lakme,SKIN,148,24,43.0,69.64250963482311,1.084316490440476,4096.248914180383,0.0
571270,LAKMEABS 3DLIPSTICK 17NUDETRIP 3.6GM,Lakme,MAKEUP,147,18,29.0,39.39317404123758,0.8520850006754281,5204.494343431632,0.0
555903,LAKME ABS 3D LIPSTICK 03 MAROON MAGIC,Lakme,MAKEUP,146,22,39.0,28.117013887660782,0.8778158742851649,2325.816573329414,0.0
540362,LAK 9TO5 WGTLESS M ROSE IVRY,Lakme,MAKEUP,147,19,37.0,45.945069664257,0.9898426400791656,5349.363991898762,0.0
569194,LAKME ABS LOOSE FINISHING POWDR IVORY8GM,Lakme,MAKEUP,150,14,24.0,51.54288488977153,1.2480313443314581,9284.297121606947,0.0
572521,LAKME ABS LUMNSSKINTINT FND W240WRMBEIGE,Lakme,MAKEUP,158,11,16.0,41.58141291822638,1.1413971850586162,8968.892755462399,0.0
574764,LAKME GLITTER LIPGLAZE 501BERRYSPRKLR5ML,Lakme,MAKEUP,127,25,59.0,55.77901743311257,1.1494672819412117,2557.895089483405,0.0
569124,LAKME ABS CREME CONCEALER 38 WALNUT 3.9G,Lakme,MAKEUP,145,24,48.0,42.453871373213694,0.9947162009943966,2730.3967756935685,0.0
562396,LAKME 9TO5 VITAMIN C+ SERUM 30M,Lakme,SKIN,156,16,18.0,44.001240795760864,0.9716662032346759,6627.013462924449,0.0
544024,LAKME SUN EXPERT SPF50 50ML,Lakme,SKIN,145,16,29.0,39.54429096220194,1.018779928694878,5977.554717563205,0.0
573581,LAKME SUN EXPERT SPF 50PA+++ UVA/B 15G,Lakme,SKIN,128,12,14.0,30.887028090717585,0.9085881148717996,7009.80103373429,0.0
544924,DOVE BW DEEP NOUR 190ML,DOVE,PW,149,17,28.0,49.34697542069974,1.1172178685751832,6548.147793116421,0.0
573744,LAKME ULTIMATEGLAMCHROMENAIL COPPER6ML,Lakme,MAKEUP,132,21,50.0,66.0077856264212,1.4042545701432723,6403.97154571122,0.0
571245,LAKME TRUEWEAR COLOR CRUSH 36,Lakme,MAKEUP,151,10,17.0,47.1956987739808,1.2542349107250295,10189.293291459557,0.0
570939,LBP ONION BLACKSD&PATCHOULI HAIR MSK200M,LBP,HAIR CARE,151,18,34.0,46.76083773504511,1.0228018184583623,6137.413053582261,0.0
544922,DOVE GENTLE EXFOLIATING BW 250ML,DOVE,PW,137,21,38.0,63.56566750198899,1.1401639333168563,5801.550837470731,0.0
571133,LBP COCONUT WTR &MIMOSA FLWR SH 200ML,LBP,HAIR CARE,149,23,35.0,42.88753469749867,0.7286878484359502,3160.9193829123333,0.0
